method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,0.9,entr,5,SNY.csv,0.08464913078345068,0.0019685844368244345,0.09410341225125358,0.08940384724820881,0.09944124933099407,1,18,43,1,0.02081114419181163
Adv-ALSTM,stocknet,0.5,0.9,entr,5,FB.csv,0.14498006519152304,0.0028427463763043732,0.16388822950450455,-0.05285002182384211,-0.05904544778641205,1,29,51,1,0.01736038712602453
Adv-ALSTM,stocknet,0.5,0.9,entr,5,DHR.csv,0.08608552133894368,0.00269017254184199,0.16261098562047166,0.09331939194126056,0.17669820309487824,1,14,32,1,0.016616718786292548
Adv-ALSTM,stocknet,0.5,0.9,entr,5,WMT.csv,0.027070969780717408,0.0006941274302748054,0.031764031471606155,0.06371487278101061,0.07493690965573438,1,20,39,1,0.02184048581143649
Adv-ALSTM,stocknet,0.5,0.9,entr,5,ABB.csv,0.1751641997099425,0.004170576183570059,0.3082490497149187,0.1864009134850211,0.3301576303430653,1,21,42,1,0.014170691392710091
Adv-ALSTM,stocknet,0.5,0.9,entr,5,BBL.csv,-0.1468106192488418,-0.0026216182008721753,-0.09057804068926334,-0.00138573031220679,-0.0008514083648921289,1,24,56,1,0.028476981349138265
Adv-ALSTM,stocknet,0.5,0.9,entr,5,BHP.csv,0.03810940314346457,0.0006459220871773655,0.025436692923423727,0.08424804839870177,0.056304696360020876,1,27,59,1,0.025122442484408154
Adv-ALSTM,stocknet,0.5,0.9,entr,5,IEP.csv,0.14539233640760924,0.0027960064693771007,0.1369991852031147,0.2466061471217917,0.2366591740410959,1,22,52,1,0.020453741623617714
Adv-ALSTM,stocknet,0.5,0.9,entr,5,SPLP.csv,0.06872565722079071,0.0019090460339108533,0.11272169939400055,-0.01273372301871918,-0.02075490054025093,1,13,36,1,0.017019810573701336
Adv-ALSTM,stocknet,0.5,0.9,entr,5,CSCO.csv,0.06910063477364894,0.0016452532088964034,0.09335642580039712,0.15820006417710838,0.21789705949135654,1,22,42,1,0.017653797271494014
Adv-ALSTM,stocknet,0.5,0.9,entr,5,CELG.csv,0.29795513330416157,0.005842257515767874,0.21423769225848047,0.003805192160914832,0.0026741641588897466,1,25,51,1,0.027876252466349102
Adv-ALSTM,stocknet,0.5,0.9,entr,5,SNP.csv,0.45542837172517414,0.010350644811935776,0.43990355654861046,0.22865491270653676,0.20612360867523108,1,20,44,1,0.025742441618993542
Adv-ALSTM,stocknet,0.5,0.9,entr,5,MO.csv,-0.02824738454652566,-0.0007242919114493759,-0.04815547469875381,0.0856943152622905,0.1475369908059983,1,22,39,1,0.014951044038904251
Adv-ALSTM,stocknet,0.5,0.9,entr,5,NGG.csv,0.045478099527214516,0.0015159366509071505,0.09638660780070134,0.07430120552601377,0.15875305780084065,1,16,30,1,0.015797050266601966
